Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Arendusosak,kõrge,EISi lehe ametlik pealkiri on „Arendusosak”. (EIS)
Suurim toetus (€),35 000,kõrge,EIS näitab suurimaks toetuseks 35 000 eurot; määruses on arendusosaku maksimaalne summa samuti 35 000 eurot. (EIS)
Omafinantseering (%),0.3,kõrge,"EIS näitab omafinantseeringuks 30%; määruses on arendusosaku toetuse maksimaalne osakaal 70%, seega omafinantseering vähemalt 30%. (EIS)"
Kogu toetussumma (€),6 508 619,kõrge,EISi lehel on välja toodud kogu toetussumma 6 508 619 eurot. (EIS)
Staatus,avatud,kõrge,EISi lehel on staatus „Avatud” ja taotlusi saab esitada jooksvalt. (EIS)
Meetme kirjeldus,"Arendusosak toetab VKEde uuenduslike ja kõrgema lisandväärtusega toodete, teenuste või tehnoloogiate arendamist. Toetus on mõeldud arendustegevusteks vajalike teenuste ostmiseks, arendustöötaja palkamiseks ja projekti jaoks vajalike materjalide soetamiseks. Projekt peab olema suunatud taotleja jaoks uudse lahenduse arendamisele ja panustama vähemalt ühte TAIE fookusvaldkonda. Toetatavad tegevused hõlmavad muu hulgas prototüübi valmistamist, tehnoloogiliste komponentide arendust, testimist, demonstreerimist, tootekatsetusi, tööstuslikku eksperimenti ja teostatavusuuringut. Projekti kestus on arendusosakul kuni 18 kuud, minimaalselt 4 kuud.",kõrge,"EIS ja määrus seovad toetuse uudse lahenduse arendamise, TAIE fookusvaldkonna, teenusepakkujalt teenuse ostmise, arendustöötaja ning materjalikuludega. (EIS)"
Link,https://eis.ee/teenused/arendusosak/,kõrge,Kasutaja antud EISi link; tehniliselt avanes sama leht ilma context parameetrita. (EIS)
Sobiv taotleja,VKE,kõrge,Taotlejaks saab olla Eesti äriregistrisse kantud väike- ja keskmise suurusega ettevõtja. (EIS)
Ettevõtte suurus,VKE,kõrge,Määrus defineerib VKE ja sätestab taotlejaks Eesti äriregistrisse kantud VKE. (Riigi Teataja)
Piirkond,Eesti,kõrge,Taotleja peab olema Eesti äriregistrisse kantud VKE. (Riigi Teataja)
Sektor,"kõik sektorid, v.a välistatud tegevusalad",keskmine,"Meede ei ole suunatud ühele sektorile, kuid määrus välistab mitu EMTAK tegevusala. (Riigi Teataja)"
