Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Tootearenduse toetus,kõrge,Meetme nimetus on EISi lehel esitatud kujul „Tootearenduse toetus”. (EIS)
Suurim toetus (€),500 000,kõrge,EISi lehel on suurim toetus 500 000 eurot; määruse järgi on toetuse maksimaalne summa ühe projekti kohta samuti 500 000 eurot. (EIS)
Omafinantseering (%),55–75%,kõrge,"EISi lehel on omafinantseering „vähemalt 55%”. Toetuse määr on kuni 45% väikeettevõtjale, 35% keskmise suurusega ettevõtjale ja 25% suurettevõtjale, millest tuleneb omafinantseering 55–75%. (EIS)"
Kogu toetussumma (€),20 000 000,kõrge,EISi lehel on kogu toetussummaks märgitud 20 000 000 eurot. (EIS)
Staatus,jooksvalt avatud,kõrge,"EISi lehel on staatus „Avatud” ning lisaks on kirjas, et toetuse taotlusi saab esitada jooksvalt. (EIS)"
Meetme kirjeldus,"Meede toetab ettevõtete tootearendust, mille tulemusena töötatakse välja rahvusvaheliselt konkurentsivõimeline uus või oluliselt muudetud toode või teenus. Toetus on mõeldud Eesti äriregistrisse kantud äriühingutele, kelle viimase kahe majandusaasta keskmine müügitulu on vähemalt 200 000 eurot. Projekt peab panustama vähemalt ühte TAIE fookusvaldkonda ja Eesti 2035 aluspõhimõtete hoidmisse ning sihtide saavutamisse. Toetust saab kasutada personalikuludeks, tootearenduseks vajalike teenuste ostmiseks, materjalide ja tarvikute soetamiseks ning seadmete kasutamiskuludeks. Projekti abikõlblikkuse periood on kuni 36 kuud ning tegevused peavad lõppema hiljemalt 31.08.2029.",kõrge,"Kirjeldus tugineb EISi eesmärgile ja sihtrühmale, määruse eesmärgi ja tulemuse sätetele, abikõlblike kulude loetelule ning projekti perioodi piirangule. (EIS)"
Link,https://eis.ee/teenused/tootearenduse-toetus/,kõrge,Kasutaja antud EISi põhilink.
Sobiv taotleja,ettevõte,kõrge,Toetust saavad taotleda Eesti äriregistrisse kantud äriühingud. (EIS)
Ettevõtte suurus,kõik,kõrge,"Määrus ja EISi leht eristavad toetuse määrasid väikeettevõtja, keskmise suurusega ettevõtja ja suurettevõtja lõikes, seega sobivad kõik suurused. (EIS)"
Piirkond,Eesti,kõrge,Taotleja peab olema Eesti äriregistrisse kantud äriühing; projekti elluviimise koht tuleb esitada kohaliku omavalitsuse täpsusega. (Riigi Teataja)
Sektor,"kõik sektorid, v.a välistatud sektorid",kõrge,"EISi leht ja määrus ei piira meedet ühe sektoriga, kuid infopäeva materjali järgi on välistatud teatud tegevusvaldkonnad."
Valdkond,TAIE fookusvaldkonnad; tootearendus; innovatsioon,kõrge,Projekt peab panustama vähemalt ühte TAIE fookusvaldkonda; toetuse eesmärk on arendada uus või oluliselt muudetud toode või teenus. (EIS)
