Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Väikese ja keskmise suurusega ettevõtja arenguprogramm,kõrge,Meetme nimetus tuleneb EISi teenuse lehelt ja Riigi Teataja määrusest.
Suurim toetus (€),300 000,kõrge,EISi lehel on suurimaks toetuseks märgitud 300 000 eurot.
Omafinantseering (%),40–65%,kõrge,"Määruse põhjal sõltub omafinantseering abi liigist ja ettevõtte suurusest. Toetuse määr võib olla 35%, 45%, 50% või 60%, seega omafinantseering vastavalt 65%, 55%, 50% või 40%."
Kogu toetussumma (€),4 991 802,kõrge,EISi lehel on kogu toetussummaks märgitud 4 991 802 eurot.
Staatus,jooksvalt avatud,kõrge,EISi lehel on meede avatud ning taotlusi saab esitada jooksvalt.
Meetme kirjeldus,"Meede toetab väljaspool Harju maakonda ja Tartu linna tegutsevate VKEde lisandväärtuse ja ekspordivõimekuse kasvatamist arenguplaani elluviimise kaudu. Projekti tulemusena peab ettevõte jõudma uue või arendatud toote, teenuse, tehnoloogia, protsessi või ärimudelini ning kasvatama lisandväärtust ja üldjuhul ekspordi müügitulu vähemalt 15%. Toetatavad tegevused võivad hõlmata tootearendust, protsessi- ja organisatsiooniinnovatsiooni, teostatavus- ja rakendusuuringuid, seadmete ja tarkvara soetamist, koolitust, turundust ning sertifitseerimist. Taotlejal peab olema Eesti äriregistri kanne, VKE staatus, vähemalt 200 000 eurot kahe viimase majandusaasta keskmist müügitulu ja vähemalt 2 täistööajaga töötajat. Projekti kestus on kuni 24 kuud ning tegevused peavad lõppema hiljemalt 31.08.2029.",kõrge,Kirjeldus sünteesib EISi lehe ja kehtiva määruse põhinõuded.
Link,https://eis.ee/teenused/vke-arenguprogramm/?context=ettevote-eestis,kõrge,Kasutaja antud EISi link.
Sobiv taotleja,VKE,kõrge,Meede on suunatud väikese ja keskmise suurusega ettevõtjatele.
Ettevõtte suurus,VKE,kõrge,Taotleja peab olema VKE.
Piirkond,"Eesti, v.a Harju maakond ja Tartu linn",kõrge,"Sihtpiirkond on Eesti territoorium, välja arvatud Harju maakond ja Tartu linn."
Sektor,piirangutega sektorid,kõrge,"Määrus välistab mitu tegevusala, mistõttu ei ole sobiv märkida sektoriks „kõik sektorid”."
Valdkond,TAIE; tootearendus; protsessiarendus; eksport; innovatsioon,kõrge,Meede on seotud TAIE eesmärkidega ning VKEde lisandväärtuse ja ekspordivõimekuse kasvatamisega.
Projekti tüüp,tootearendus; protsessi- ja organisatsiooniinnovatsioon; teostatavusuuring; rakendusuuring; sertifitseerimine; investeering; koolitus; turundus; digitaliseerimine,kõrge,"Toetatavad tegevused hõlmavad arendus-, innovatsiooni-, investeeringu-, koolitus-, turundus-, tarkvara-, sertifitseerimis- ja uuringutegevusi."
AI nõue,sobib,keskmine,"AI ei ole meetme kohustuslik tingimus, kuid AI-põhine toote-, teenuse-, tehnoloogia- või protsessiarendus võib meetme eesmärkidega sobida."
T&A nõue,sobib,kõrge,"T&A ei ole kõigile projektidele kohustuslik, kuid määrus lubab rakendusuuringuid, tootearendust ja teostatavusuuringuid."
Arengufaas,kontseptsioon; prototüüp; turuleviimine; skaleerimine,keskmine,"Teostatavusuuring viitab kontseptsioonifaasile, tootearendus prototüübi või arenduse faasile, müügi- ja turundustegevused turuleviimisele ning ekspordivõimekuse kasv skaleerimisele."
Partneri nõue,teenusepakkuja vajalik,keskmine,"Konsortsium ei ole nõutud, kuid mitmed tegevused võivad eeldada teenuste sisseostmist, näiteks nõustamine, koolitus, tarkvaraarendus, vastavuskatsed, sertifitseerimine, turundus, projekteerimine või ehitus."
Ülikoolipartner,sobiv,keskmine,"Ülikool või teadusasutus ei ole kohustuslik, kuid võib sobida rakendusuuringu, tootearenduse või teostatavusuuringu teenusepakkujana."
Välistavad tingimused,"· mitte-VKE;· ettevõte ei ole Eesti äriregistris;· tegevuskoht Harju maakonnas või Tartu linnas;· kahe viimase majandusaasta keskmine müügitulu alla 200 000 euro;· alla 2 täistööajaga töötaja;· puudub nõutav omafinantseering;· ettevõtte suhtes on algatatud likvideerimis-, sundlõpetamis- või pankrotimenetlus, tehtud kustutamishoiatus või pankrotiotsus;· projektiga on alustatud või kohustusi võetud enne taotluse esitamist;· kohustuslik eelnõustamine läbimata;· arenguplaan ei ole eelnõustamisel heaks kiidetud;· projekt ei panusta VKE lisandväärtuse ja ekspordivõimekuse kasvatamisse;· projekt ei vii uue või arendatud toote, teenuse, tehnoloogia, protsessi või ärimudeli rakendamiseni;· lisandväärtuse kasv alla 15%;· ekspordi müügitulu kasv alla 15%, välja arvatud juhul, kui T&A kulud moodustavad vähemalt 25% projekti mahust;· taotleja on varem saanud toetust määruses nimetatud varasemast ettevõtte arenguprogrammi meetmest;· tegevus kuulub välistatud EMTAK valdkonda: põllumajandus, metsamajandus ja kalapüük; kala, koorikloomade ja molluskite töötlemine ja säilitamine; kinnisvaraalane tegevus; tubakatoodete tootmine; hasartmängud ja kihlveod; finants- ja kindlustustegevus; juriidilised toimingud ja arvepidamine; peakontorite tegevus ja juhtimisalane nõustamine; reklaamindus, turu-uuringud ja suhtekorraldus; rentimine ja kasutusrent; tööjõurent ja muud tööjõuteenused; hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont ja hooldus; kivi- ja pruunsöe kaevandamine; toornafta ja maagaasi tootmine; nafta ja maagaasi tootmist abistavad tegevusalad; koksi ja puhastatud naftatoodete tootmine;· täitmata Euroopa Komisjoni ebaseadusliku ja siseturuga kokkusobimatu abi tagasimaksmise korraldus;· tegevus ei vasta riigiabi või vähese tähtsusega abi tingimustele;· tegevus ei vasta „ei kahjusta oluliselt” põhimõttele;",kõrge,"Välistavad tingimused koondavad EISi lehel ja määruses toodud taotleja, projekti, piirkonna, sektori, riigiabi ja menetluslikud välistused."
Kontrollkohad,"· kontrolli, kas taotleja on VKE üldise grupierandi määruse lisa I tähenduses;· kontrolli tegevuskoha sobivust väljaspool Harju maakonda ja Tartu linna;· kontrolli EMTAK tegevusala välistusi;· kontrolli kahe viimase majandusaasta keskmist müügitulu ja töötajate arvu;· kontrolli kohustusliku eelnõustamise läbimist;· kontrolli, kas eelhinnang kehtib, sest eelhinnang kehtib kolm kuud;· kontrolli, kas arenguplaan on eelnõustamisel heaks kiidetud;· kontrolli riigiabi liiki ja toetuse määra tegevuste kaupa;· kontrolli VTA jääki ja kumuleerimisreegleid;· kontrolli, kas projekti tegevustega ei ole alustatud enne taotluse esitamist;· kontrolli projekti kestust: kuni 24 kuud ja tegevused hiljemalt 31.08.2029;· kontrolli, kas projekt saavutab lisandväärtuse vähemalt 15% kasvu;· kontrolli, kas projekt saavutab ekspordi müügitulu vähemalt 15% kasvu või kas T&A kulud moodustavad vähemalt 25% projekti mahust;· kontrolli abikõlblikke kulusid tegevuste kaupa;· kontrolli ostumenetluse ja hinnapakkumiste nõudeid;· kontrolli „Eesti 2035” aluspõhimõtetesse panustamist;· kontrolli DNSH ehk „ei kahjusta oluliselt” põhimõtte täitmist;· kontrolli kliimakindluse hinnangu vajadust hoone või rajatise ehitamisel või rekonstrueerimisel;· kontrolli, kas taotleja ei ole varem saanud välistavat toetust varasemast ettevõtte arenguprogrammi meetmest;",kõrge,"Kontrollkohad hõlmavad ajas muutuvad, projekti- ja taotlejapõhised ning riigiabi ja abikõlblikkusega seotud tingimused."
,,,
2) Ebaselged või kontrollimist vajavad kohad,,,
"· AI nõue on tõlgenduslik, sest AI ei ole meetmes eraldi nimetatud, kuid AI-lahendus võib sobida arendus-, digitaliseerimis- või innovatsiooniprojektina;",,,
"· „Sektor” on tabelis märgitud väärtusega „piirangutega sektorid”, sest sobivate sektorite positiivset nimekirja ei ole; tegelik sobivus sõltub EMTAK välistuste kontrollist;",,,
"· „Partneri nõue” on märgitud „teenusepakkuja vajalik”, sest paljud abikõlblikud tegevused võivad sisuliselt eeldada sisseostu, kuid konsortsium või püsipartner ei ole kohustuslik;",,,
"· „Ülikoolipartner” on märgitud „sobiv”, mitte „nõutav”, sest teadusasutus võib olla sobiv arendus- või uuringuteenuse osutaja, kuid seda ei nõuta;",,,
"· omafinantseering tuleb iga projekti puhul täpsustada abi liigi, tegevuse ja ettevõtte suuruse järgi.",,,
,,,
3) Võimalikud lisalingid kontrollimiseks,,,
"Lisalinke ei ole praegu vaja, sest kasutaja antud EISi leht ja Riigi Teataja kehtiv määrus annavad tabeliväljade täitmiseks piisava aluse.",,,
