Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Rakendusuuringute programmi väikeprojektide taotlusvoor,kõrge,Meetme nimetus on EISi lehel sellisena esitatud. (EIS)
Suurim toetus (€),250 000,kõrge,"EISi väikeprojektide taotlusvooru lehel on märgitud, et taotletav toetus peab jääma vahemikku 100 000 kuni 250 000 eurot ning suurim toetus on 250 000 eurot. (EIS)"
Omafinantseering (%),20–75%,kõrge,"EISi lehel on omafinantseeringuna märgitud 20%–75%. Toetuse määr sõltub tegevuse liigist, ettevõtte suurusest ja tõhusa koostöö olemasolust. (EIS)"
Kogu toetussumma (€),6 000 000,kõrge,EISi lehel on kogu toetussummana märgitud 6 000 000 eurot. (EIS)
Staatus,avatud,kõrge,EISi lehel on staatuseks märgitud „Avatud”. (EIS)
Meetme kirjeldus,"Rakendusuuringute programmi väikeprojektide taotlusvoor toetab ettevõtete teadus- ja arendustegevust ning tootearendust, mille eesmärk on arendada uusi või senisest oluliselt muudetud tehnoloogiaid, protsesse, tooteid või teenuseid. Toetus on mõeldud Eesti äriregistrisse kantud ettevõtetele sõltumata suurusest ja tegutsemisajast, kuid ettevõte ei tohi olla raskustes. Toetust saab kasutada rakendusuuringuks, eksperimentaalseks tootearenduseks, nendega seotud teostatavusuuringuks ja intellektuaalomandi esmakaitseks. Projekt peab sobituma TRL 3–7 vahemikku ning taotlemisele eelneb kohustuslik eelnõustamine. Projekti maksimaalne abikõlblikkuse periood on 36 kuud.",kõrge,"Kirjeldus tugineb EISi lehe eesmärgile, sihtrühmale, toetatavatele tegevustele, TRL-vahemikule, eelnõustamise nõudele ja projekti kestuse piirangule. (EIS)"
Link,https://eis.ee/teenused/rakendusuuringute-programmi-vaikeprojektide-taotlusvoor/?context=company-in-estonia,kõrge,Kasutaja antud põhilink.
Sobiv taotleja,ettevõte,kõrge,Taotleja võib olla Eesti äriregistrisse kantud äriühing. (Riigi Teataja)
Ettevõtte suurus,kõik,kõrge,EISi lehe järgi saavad programmis osaleda kõik Eesti äriregistrisse kantud ettevõtted sõltumata ettevõtte suurusest ja tegutsemisajast. (EIS)
Piirkond,Eesti,kõrge,Taotleja peab olema Eesti äriregistrisse kantud äriühing; partner võib olla ka välisriigi juriidiline isik või teadus- ja arendusasutus. (Riigi Teataja)
Sektor,kõik sektorid,keskmine,"Allikas ei sätesta majandussektoripõhist piirangut, kuid projekt peab sobituma TAIE fookusvaldkondadega. Seetõttu on sektorina sobiv „kõik sektorid”, valdkonna piirang tuleb märkida eraldi. (EIS)"
Valdkond,TAIE fookusvaldkonnad; AI; digitaliseerimine; tervisetehnoloogiad; rohetehnoloogia; kohalikud ressursid,kõrge,"EISi leht nimetab TAIE fookusvaldkondi: digilahendused igas eluvaldkonnas, sh tehisintellekt ja masinõpe; tervisetehnoloogiad; kohalike ressursside väärindamine; nutikad ja kestlikud energialahendused. (EIS)"
Projekti tüüp,teadus- ja arendusprojekt; tootearendus; teostatavusuuring; intellektuaalomandi esmakaitse,kõrge,"Määruse järgi toetatakse rakendusuuringut, tootearendust, nendega seotud teostatavusuuringut ja intellektuaalomandi esmakaitset. (Riigi Teataja)"
AI nõue,sobib,kõrge,"AI ei ole kohustuslik, kuid EISi leht nimetab digilahenduste näidetena tehisintellekti, masinõppe algoritmide arendamist ja suuri keelemudeleid. (EIS)"
T&A nõue,nõutav,kõrge,Määruse eesmärk on soodustada ettevõtja äriliste eesmärkidega seotud teadus- ja arendustegevust ning toetatavad tegevused on rakendusuuring ja tootearendus. (Riigi Teataja)
Arengufaas,kontseptsioon; prototüüp; piloot,kõrge,EISi lehe järgi sobivad projektid TRL 3–7 vahemikku: rakendusuuring TRL 3–5 ja eksperimentaalne tootearendus TRL 6–7. (EIS)
Partneri nõue,soovitatav,keskmine,"Ettevõtja saab osaleda iseseisvalt või koostöös teiste ettevõtete, teadusasutuste, katselaborite või intellektuaalomandi ekspertidega. Tõhus koostöö võib suurendada toetuse määra, kuid partner ei ole üldtingimusena kohustuslik. (EIS)"
Ülikoolipartner,sobiv,keskmine,"Teadus- ja arendusasutus võib olla partner ning toetuse eesmärkide hulgas on ettevõtjate ja teadus- ja arendusasutuste teadmussiirde edendamine, kuid ülikoolipartner ei ole kõigile projektidele kohustuslik. (Riigi Teataja)"
Välistavad tingimused,"ettevõte ei ole Eesti äriregistris; ettevõte on raskustes; eelnõustamine läbimata; projekt ei vasta TAIE fookusvaldkonnale; TRL ei ole 3–7; projektiga on alustatud enne taotluse esitamist; taotletav toetus alla 100 000 € või üle 250 000 €; sama ettevõtja on saanud väikevoorust toetust viimase kolme aasta jooksul; maksu- või maksevõlg üle 100 € ja ajatamata; majandusaasta aruanded või maksudeklaratsioonid esitamata; tagasimaksmisele kuuluv varasem toetus tasumata; likvideerimis-, sundlõpetamis- või pankrotimenetlus; kehtiv karistus määruses nimetatud süütegude alusel; käibemaks; seotud isikute vaheline tehing; projekti partnerite vaheline tehing",kõrge,"Välistused tulenevad EISi väikevooru tingimustest, TRL-nõudest, eelnõustamisest, kolme aasta piirangust ning määruse taotleja, partneri ja kulude abikõlblikkuse nõuetest. (EIS)"
Kontrollkohad,"• kontrolli meetme staatust ja eelarvejääki • kontrolli eelnõustamise läbimist • kontrolli TAIE fookusvaldkonna sobivust • kontrolli TRL 3–7 sobivust • kontrolli, kas projekt on rakendusuuring või tootearendus • kontrolli toetuse määra ettevõtte suuruse ja tegevuse liigi järgi • kontrolli tõhusa koostöö mõju toetuse määrale • kontrolli partneri sobivust • kontrolli ettevõtte raskustes olemist • kontrolli maksu- ja maksevõlga • kontrolli aruannete ja deklaratsioonide esitamist • kontrolli, et projektiga ei ole alustatud enne taotluse esitamist • kontrolli abikõlblikke kulusid • kontrolli 36 kuu projekti perioodi",kõrge,"Kontrollkohad on seotud meetme ajas muutuva staatuse, vooru tingimuste, eelnõustamise, projekti sisulise sobivuse, toetuse määra, partnerite ja abikõlblikkuse nõuetega. (EIS)"
,,,
2) Ebaselged või kontrollimist vajavad kohad,,,
"Sektor: EISi leht ei too välja majandussektorite kaupa sihtrühma, vaid TAIE fookusvaldkonnad; seetõttu on „kõik sektorid” mõistlik, kuid projekt peab sisuliselt TAIE fookusesse sobima.",,,
"Omafinantseering: üldväärtus 20–75% tuleneb EISi lehe vahemikust, kuid konkreetne määr sõltub tegevusest, ettevõtte suurusest ja tõhusa koostöö olemasolust.",,,
"Partneri nõue: partner ei ole üldtingimusena nõutav, kuid tõhus koostöö võib suurendada toetuse määra ja teadusasutuse kaasamine võib olla sisuliselt sobiv.",,,
"Ülikoolipartner: ülikool või teadus- ja arendusasutus on sobiv partner, kuid allikate põhjal mitte kõigile projektidele kohustuslik.",,,
"Välistatud tegevusalad: antud allikates ei leidnud eraldi EMTAK tegevusalade loetelu, mis oleks meetmest välistatud. Välistused tulenevad pigem riigiabi reeglitest, raskustes ettevõtja piirangust, TAIE/TRL/projektisisu sobivusest ja abikõlblikkuse nõuetest.",,,
"Staatus: EISi lehel on taotlusvoor avatud, kuid staatust ja eelarvejääki tuleb enne tabeli kasutamist kontrollida, sest need võivad muutuda.",,,
3) Võimalikud lisalingid kontrollimiseks,,,
"https://eis.ee/teenused/rakendusuuringute-programmi-vaikeprojektide-taotlusvoor/?context=company-in-estonia — kasutaja antud EISi meetme link; vajalik staatuse, eelarve, vormide, eelnõustamise ja väikevooru praktiliste tingimuste kontrolliks.",,,
"https://www.riigiteataja.ee/akt/109092025002?leiaKehtiv — kasutaja antud määruse link; vajalik toetatavate tegevuste, abikõlblike kulude, toetuse määrade, taotleja ja partneri nõuete ning projekti perioodi kontrolliks.",,,
