Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Innovatsiooniosak,kõrge,EISi lehel on meetme nimetus „Innovatsiooniosak”. (EIS)
Suurim toetus (€),7 500,kõrge,Innovatsiooniosaku maksimaalne toetus on määruses 7 500 € ja EISi lehel sama. (Riigi Teataja) (EIS)
Omafinantseering (%),0.2,kõrge,"Toetuse maksimaalne osakaal on innovatsiooniosakul 80%, seega omafinantseering vähemalt 20%; EIS näitab samuti 20%. (Riigi Teataja) (EIS)"
Kogu toetussumma (€),3 254 309,kõrge,EISi lehel on „Kogu toetussumma” 3 254 309 €. (EIS)
Staatus,avatud,kõrge,EISi lehel on staatus „Avatud”; määruse järgi taotletakse toetust jooksvalt. (EIS) (Riigi Teataja)
Meetme kirjeldus,"Innovatsiooniosak toetab VKEde koostööd innovatsiooniteenuse pakkujatega, sh teadusasutuste, katselaborite ja intellektuaalomandi ekspertidega, et arendada taotleja jaoks uudset lahendust. Toetust saab kasutada näiteks prototüübi valmistamiseks, tehnoloogiliste komponentide arenduseks, testimiseks ja demonstreerimiseks, tootekatsetuseks, teostatavusuuringuks, õiguskaitsealaseks nõustamiseks ning sertifitseerimise, standardimise, vastavushindamise ja metroloogiateenuse hankimiseks. Projekt peab panustama vähemalt ühte TAIE/nutika spetsialiseerumise fookusvaldkonda ning taotlejal peavad puuduma projekti teostamiseks vajalikud ressursid, teadmised, oskused või kogemused. Innovatsiooniosaku projekt kestab üldjuhul 4–12 kuud ja tegevustega ei tohi alustada enne taotluse esitamist.",kõrge,"Kirjeldus on süntees EISi lehe ja määruse innovatsiooniosaku sätetest; arendusosaku erisused, nagu arendustöötaja ja materjalikulu, on teadlikult välja jäetud. (EIS) (Riigi Teataja) (Riigi Teataja)"
Link,https://eis.ee/teenused/innovatsiooniosak/,kõrge,Kasutaja antud EISi link.
Sobiv taotleja,VKE,kõrge,Taotleja saab olla Eesti äriregistrisse kantud VKE. (Riigi Teataja)
Ettevõtte suurus,VKE,kõrge,Määrus ja EISi leht piiritlevad taotleja väikese ja keskmise suurusega ettevõtjana. (EIS) (Riigi Teataja)
Piirkond,Eesti,kõrge,Taotleja peab olema Eesti äriregistrisse kantud VKE. (Riigi Teataja)
Sektor,"kõik sektorid, v.a välistatud tegevusalad",keskmine,"Meede ei ole ühe sektoriga piiratud, kuid määrus välistab mitu EMTAK tegevusala. (Riigi Teataja)"
Valdkond,TAIE fookusvaldkonnad; innovatsioon; tootearendus,kõrge,Projekt peab panustama vähemalt ühte nutika spetsialiseerumise/TAIE fookusvaldkonda ning on suunatud uudse lahenduse ja tootearenduseks vajalike teenuste hankimisele. (Riigi Teataja) (EIS)
Projekti tüüp,tootearendus; prototüüpimine; testimine; teostatavusuuring; sertifitseerimine,kõrge,"Toetatavate tegevuste hulgas on prototüübi valmistamine, tehnoloogiliste komponentide arendus, testimine ja demonstreerimine, tootekatsetus, tööstuslik eksperiment, teostatavusuuring, õiguskaitse ning akrediteerimise/sertifitseerimise/standardimise/vastavushindamise/metroloogia teenused. (Riigi Teataja)"
AI nõue,sobib,keskmine,"AI ei ole nõutud ega eraldi nimetatud, kuid digilahendused on TAIE fookusvaldkond ning AI-projekt võib sobida, kui see on uudse lahenduse arendus ja vastab tegevuste loetelule. (Riigi Teataja)"
T&A nõue,sobib,keskmine,"Meede toetab innovatsiooni, teadmussiiret ja koostööd teadus- ja arendusasutustega, kuid innovatsiooniosaku puhul ei ole T&A asutus alati kohustuslik teenusepakkuja. (Riigi Teataja) (EIS)"
Arengufaas,kontseptsioon; prototüüp; piloot,keskmine,"Teostatavusuuring viitab kontseptsioonifaasile, prototüübi valmistamine prototüübifaasile ning testimine/demonstreerimine piloodile. (Riigi Teataja)"
Partneri nõue,teenusepakkuja vajalik,kõrge,Innovatsiooniosak on toetus teenuse hankimiseks innovatsiooniteenuse pakkujalt; EIS rõhutab piiratud ringiga koostööpartneri leidmist. (Riigi Teataja) (EIS)
Ülikoolipartner,sobiv,kõrge,"Teenusepakkujateks võivad olla muu hulgas rakenduskõrgkoolid, ülikoolid ja teadusasutused, kuid need ei ole ainsad lubatud teenusepakkujad. (EIS)"
Välistavad tingimused,"• mitte-VKE;• ettevõte ei ole Eesti äriregistris;• projekt ei panusta vähemalt ühte TAIE/nutika spetsialiseerumise fookusvaldkonda;• puudub sobiv innovatsiooniteenuse pakkuja;• tegevusega või kohustustega on alustatud enne taotluse esitamist;• taotleja on innovatsiooniosaku toetust varem saanud kaks korda;• taotlejal on sama määruse alusel juba üks projekt elluviimisel;• VTA piirmäär on ületatud;• tegevus ei ole abikõlblik, sh koolitus/õppereis, ärimudeli loomine või muutmine, disainilahenduse väljatöötamine ja juurutamine, veebilehe/e-poe loomine, rutiinne tarkvaraarendus, ettevõttesiseste protsesside või teenuste arendamine, turu-uuring;• välistatud tegevusalad: põllumajandus, metsamajandus ja kalapüük; kala, koorikloomade ja molluskite töötlemine ja säilitamine; hulgi- ja jaekaubandus; kinnisvaraalane tegevus; tubakatoodete tootmine; hasartmängud ja kihlveod; juriidilised toimingud ja arvepidamine; peakontorite tegevus ja juhtimisalane nõustamine; reklaamindus, turu-uuringud ja suhtekorraldus; rentimine ja kasutusrent; tööjõurent ja muud tööjõuteenused; kivi- ja pruunsöe kaevandamine; toornafta ja maagaasi tootmine; nafta ja maagaasi tootmist abistavad tegevusalad; koksi ja puhastatud naftatoodete tootmine.",kõrge,"Välistavad tingimused tulenevad määruse reguleerimisalast, taotleja nõuetest, toetatavate/mitte-toetatavate tegevuste loetelust, VTA tingimusest ja taotlemise piirangutest. (Riigi Teataja) (Riigi Teataja) (Riigi Teataja) (Riigi Teataja)"
Kontrollkohad,"• kontrolli, et projekt kuulub TAIE/nutika spetsialiseerumise fookusvaldkonda;• kontrolli VTA jääki;• kontrolli, et teenusepakkuja vastab IOT nõuetele;• kontrolli, et taotleja ei ole innovatsiooniosakut juba kaks korda saanud;• kontrolli, et taotlejal ei ole sama määruse alusel teist projekti elluviimisel;• kontrolli, et tegevustega ega lepinguliste kohustustega ei ole alustatud enne taotluse esitamist;• kontrolli, kas tehingu summa nõuab kahte sõltumatut hinnapakkumist;• kontrolli EISi lehelt taotluste vastuvõtu võimalikku peatamist ja eelarve jääki;• kontrolli Eesti 2035 põhimõtete/näitajate puutumust;• kontrolli projekti kestust: innovatsiooniosakul üldjuhul 4–12 kuud.",kõrge,Need on peamised muutuvad või taotluses üle kontrollitavad nõuded; määruse järgi saab EIS taotluste vastuvõtu peatada eelarvejäägi ammendumisel. (Riigi Teataja) (EIS) (Riigi Teataja)
Täiendavad lingid,https://www.riigiteataja.ee/akt/115022023009?leiaKehtiv,kõrge,"Kasutaja antud õigusakti link; sama määrus hõlmab nii innovatsiooni- kui arendusosakut, kuid siin on arvestatud innovatsiooniosaku erisusi. (Riigi Teataja)"
,,,
2) Ebaselged või kontrollimist vajavad kohad,,,
"AI nõue on tõlgenduslik: AI ei ole allikates eraldi nõue, kuid võib sobida digilahenduste ja innovatsiooni raames, kui tegevus on abikõlblik.",,,
"Sektor vajab konkreetse taotleja puhul kontrolli EMTAK järgi, sest meede on üldine, kuid mitmed tegevusalad on välistatud.",,,
"Teenusepakkuja sobivus tuleb iga projekti puhul eraldi kontrollida, sest innovatsiooniosaku puhul on lubatud teenusepakkujate ring piiratud.",,,
"Eelarve jääk ja vastuvõtu peatamine tuleb enne tabeli lõplikku kasutamist üle vaadata, sest kuigi EISi leht näitab staatuseks „Avatud”, võib määruse järgi vastuvõtt eelarve täitumisel peatuda.",,,
"Tabeli vormistus järgib sinu knowledge-file’i juhendit: väärtused on hoitud lühikesed, välistavad tingimused ja kontrollkohad on eraldi ning arendusosaku erisused on innovatsiooniosaku lahtritest välja jäetud.",,,
