Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Rakendusuuringute programm,kõrge,Meetme nimetus on EISi lehel esitatud kujul „Rakendusuuringute programm”. (EIS)
Suurim toetus (€),2 000 000,kõrge,EISi lehel on suurim toetus 2 000 000 eurot ja taotletava toetuse summa 250 000 kuni 2 000 000 eurot. (EIS)
Omafinantseering (%),20–75%,kõrge,"EISi lehel on omafinantseeringuna märgitud 20%–75%; toetuse määr sõltub tegevuse liigist, ettevõtte suurusest ja tõhusa koostöö olemasolust. (EIS)"
Kogu toetussumma (€),15 000 000,kõrge,EISi lehe järgi on taotlusvooru eelarve 15 000 000 eurot. (EIS)
Staatus,tulemas,keskmine,"EISi lehe üldplokis on märgitud „Avatud”, kuid taotluseid hetkel esitada ei saa; 11. taotlusvoor on taotluste esitamiseks avatud 03.08.2026 kuni 28.09.2026. Eelnõustamine on avatud jooksvalt. (EIS)"
Meetme kirjeldus,"Rakendusuuringute programm toetab ettevõtete teadus- ja arendustegevust ning tootearendust, et arendada uusi või senisest oluliselt muudetud tehnoloogiaid, protsesse, tooteid või teenuseid. Programm on mõeldud Eesti äriregistrisse kantud ettevõtetele sõltumata suurusest ja tegutsemisajast, kuid ettevõte ei tohi olla raskustes. Toetust saab kasutada rakendusuuringuks, eksperimentaalseks tootearenduseks, teostatavusuuringuks ja intellektuaalomandi esmakaitseks. Toetusesse sobivad projektid peavad olema TRL 3–7 vahemikus ning enne taotlemist tuleb läbida eelnõustamine ja eelhindamine. Projekti maksimaalne abikõlblikkuse periood on kuni 36 kuud.",kõrge,"Kirjeldus tugineb EISi lehe eesmärgile, sihtrühmale, toetatavatele tegevustele, TRL-vahemikule, eelnõustamise nõudele ja projekti kestuse piirangule. (EIS)"
Link,https://eis.ee/teenused/rakendusuuringute-programm/,kõrge,Kasutaja antud EISi link.
Sobiv taotleja,ettevõte,kõrge,Määruse järgi võib toetuse taotleja olla Eesti äriregistrisse kantud äriühing. (Riigi Teataja)
Ettevõtte suurus,kõik,kõrge,EISi lehe järgi saavad programmis osaleda kõik Eesti äriregistrisse kantud ettevõtted sõltumata suurusest ja tegutsemisajast. (EIS)
Piirkond,Eesti,kõrge,Taotleja peab olema Eesti äriregistrisse kantud äriühing; partner võib olla ka välisriigi juriidiline isik või teadus- ja arendusasutus. (Riigi Teataja)
Sektor,kõik sektorid,keskmine,"EISi leht ei piira programmi konkreetse majandussektoriga, kuid projekt peab panustama TAIE fookusvaldkonda. (EIS)"
Valdkond,TAIE fookusvaldkonnad; AI; digitaliseerimine; tervisetehnoloogiad; rohetehnoloogia; kohalikud ressursid,kõrge,"EISi leht nimetab TAIE fookusvaldkonnad ja näidetena digilahendused, sh tehisintellekt ja masinõpe, tervisetehnoloogiad, kohalike ressursside väärindamine ning nutikad ja kestlikud energialahendused. (EIS)"
Projekti tüüp,teadus- ja arendusprojekt; tootearendus; teostatavusuuring; intellektuaalomandi esmakaitse,kõrge,"Määruse ja EISi lehe järgi toetatakse rakendusuuringut, eksperimentaalset tootearendust, teostatavusuuringut ja intellektuaalomandi esmakaitset. (EIS)"
AI nõue,sobib,kõrge,"AI ei ole kohustuslik, kuid EISi leht nimetab digilahenduste näidetena tehisintellekti, masinõppe algoritmide arendamist ja suuri keelemudeleid. (EIS)"
T&A nõue,nõutav,kõrge,Määruse järgi on toetuse eesmärk soodustada ettevõtja äriliste eesmärkidega seotud teadus- ja arendustegevust; EISi leht kirjeldab programmi teadusarendustegevuse ja tootearenduse toetusena. (Riigi Teataja)
Arengufaas,kontseptsioon; prototüüp; piloot,kõrge,EISi lehe järgi sobivad toetusesse projektid TRL 3–7 vahemikus: rakendusuuring TRL 3–5 ja eksperimentaalne tootearendus TRL 6–7. (EIS)
Partneri nõue,soovitatav,keskmine,"Ettevõtja saab osaleda iseseisvalt või koostöös teiste ettevõtete, teadusasutuste, katselaborite või intellektuaalomandi ekspertidega. Partner ei ole üldtingimusena kohustuslik, kuid tõhus koostöö võib suurendada toetuse määra. (EIS)"
