Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Ettevõtte arenguprogramm,kõrge,EISi lehel on meetme nimetus „Ettevõtte arenguprogramm”. (EIS)
Suurim toetus (€),500 000,kõrge,EISi leht: arenguplaanile kuni 500 000 eurot; määrus: maksimaalne summa ühe ettevõtja kohta 500 000 eurot. Seadmete tegevusele eraldi ülempiir 200 000 eurot. (EIS)
Omafinantseering (%),vähemalt 55%,kõrge,"EISi leht ütleb „vähemalt 55%”. Määruse järgi on toetuse maksimaalne osakaal väikeettevõtjal 45%, keskmisel 35% ja suurettevõtjal 25%, seega omafinantseering võib olla vähemalt 55%, 65% või 75%. (EIS)"
Kogu toetussumma (€),22 968 000,kõrge,EISi lehel on toodud kogu toetussumma 22 968 000 eurot. (EIS)
Staatus,avatud,kõrge,"EISi lehel on staatus „Avatud”; määrus ütleb, et toetust taotletakse jooksvalt. (EIS)"
Meetme kirjeldus,"Ettevõtte arenguprogramm toetab ettevõtte pikaajalise strateegilise arenguplaani elluviimist ja rahvusvahelise konkurentsivõime suurendamist. Toetust saavad taotleda Eesti äriregistrisse kantud vähemalt kaks aastat tegutsenud äriühingud, kus töötab vähemalt kaheksa täistööajaga inimest ning millel on ekspordi- või kasvunõue täidetud. Toetatavad tegevused hõlmavad organisatsiooni ja protsesside arendamist, toote või teenuse arendamist, müügi- ja turundustegevust, inimeste arendamist ning seadmete soetamist. Arenguplaan peab panustama vähemalt ühte kolmikpöörde suunda ja TAIE/nutika spetsialiseerumise fookusvaldkonda. Projekti abikõlblikkuse periood on üldjuhul kuni 18 kuud, tegevused peavad lõppema hiljemalt 31.08.2029.",kõrge,"Süntees EISi kirjelduse, sihtrühma, toetatavate tegevuste ja määruse abikõlblikkuse perioodi põhjal. (EIS)"
Link,https://eis.ee/teenused/ettevotte-arenguprogramm/,kõrge,Kasutaja antud põhilink.
Sobiv taotleja,ettevõte,kõrge,Toetust saavad taotleda Eesti äriregistrisse kantud äriühingud. (EIS)
Ettevõtte suurus,kõik,kõrge,"Määrus eristab mikro-, väike-, keskmisi ja suurettevõtjaid ning toetuse osakaal sõltub ettevõtte suurusest; suuruse alusel üldist välistust ei ole, kuid nõutud on vähemalt 8 töötajat. (Riigi Teataja)"
Piirkond,Eesti,kõrge,Taotleja peab olema Eesti äriregistrisse kantud äriühing. (EIS)
Sektor,"kõik sektorid, v.a välistatud tegevusalad",kõrge,"Meede ei ole suunatud ühele sektorile, kuid määrus välistab mitu EMTAK tegevusala. (Riigi Teataja)"
Valdkond,TAIE fookusvaldkonnad; innovatsioon; digitaliseerimine; kestlik areng,kõrge,Arenguplaan peab panustama vähemalt ühte kolmikpöörde suunda ning ettevõtte tegevus või arendus peab olema suunatud TAIE fookusvaldkonda. (EIS)
Projekti tüüp,tootearendus; digitaliseerimine; investeering; koolitus; eksport; teostatavusuuring; sertifitseerimine,kõrge,"Toetatavad tegevused hõlmavad toote/teenuse arendust, organisatsiooni- ja protsessiarendust, personali arendamist, müügi- ja turundustegevust, seadmeid, eeluuringut, vastavuskatsetusi ja sertifitseerimist. (EIS)"
AI nõue,sobib,keskmine,"AI ei ole allikas otseselt nõutud, kuid digilahendused, digitaliseerimine, tarkvaralahenduste arendamine ja juurutamine võivad AI-projekte hõlmata. (Riigi Teataja)"
T&A nõue,sobib,keskmine,"Meede on seotud TAI-mahukuse ja teadmussiirde suurendamisega ning toetab rakendusuuringut ja tootearendust, kuid kõik toetatavad tegevused ei ole kitsalt T&A tegevused. (Riigi Teataja)"
Arengufaas,kontseptsioon; prototüüp; piloot; turuleviimine; skaleerimine,keskmine,"Toetatavad tegevused katavad eeluuringut, tootearendust, tootmisesse viimist, teenuse pakkumise alustamist, turule toomist ning rahvusvahelise konkurentsivõime kasvu. (Riigi Teataja)"
Partneri nõue,ei,keskmine,"Konsortsiumi või kohustuslikku partnerit ei ole allikas nõudena toodud; samas võib toetatavate tegevuste raames osta nõustamis-, uuringu-, arendus-, sertifitseerimis- või muid teenuseid. (Riigi Teataja)"
Ülikoolipartner,sobiv,keskmine,"Ülikool või teadusasutus ei ole nõutud, kuid ostetavad lepingulised teadusuuringud, teadmised ja nõustamisteenused on abikõlblike kulude hulgas. (Riigi Teataja)"
Välistavad tingimused,"• ettevõte ei ole Eesti äriregistris;• ettevõttel on alla 8 töötaja;• ettevõte on tegutsenud alla 2 aasta;• puudub vähemalt 50 000 € ekspordi müügitulu või vähemalt 5% keskmine müügitulu kasv kahe majandusaasta jooksul;• arenguplaan ei panusta kolmikpöördesse;• projekt ei panusta TAIE/nutika spetsialiseerumise fookusvaldkonda;• tegevusala on välistatud: põllumajandus, metsamajandus ja kalapüük; kala, koorikloomade ja molluskite töötlemine ja säilitamine; hulgi- ja jaekaubandus; kinnisvaraalane tegevus; tubakatoodete tootmine; hasartmängud ja kihlveod; juriidilised toimingud ja arvepidamine; peakontorite tegevus ja juhtimisalane nõustamine; reklaamindus, turu-uuringud ja suhtekorraldus; rentimine ja kasutusrent; tööjõurent ja muud tööjõuteenused; kivi- ja pruunsöe kaevandamine; toornafta ja maagaasi tootmine; nafta ja maagaasi tootmist abistavad tegevusalad; koksi ja puhastatud naftatoodete tootmine;• tegevus tekitab olulist kahju keskkonnaeesmärkidele;• projektitegevusi või kohustusi alustatakse enne taotluse esitamist",kõrge,"Välistused tulenevad EISi taotleja tingimustest, määruse tegevusala välistustest, mittetoetatavatest tegevustest ja abikõlblikkuse perioodi nõudest. (EIS)"
