Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Tehisaru kasutuselevõtmise toetus,kõrge,Määruse ametlik nimetus.
Suurim toetus (€),20 000,kõrge,Määrusest tulenev maksimaalne toetus projekti kohta.
Omafinantseering (%),20,kõrge,Minimaalne omafinantseering on 20% projekti abikõlblikest kuludest.
Kogu toetussumma (€),määramata,kõrge,Kasutatud materjalidest ei selgu meetme kogu eelarve.
Staatus,tulemas,kõrge,
Meetme kirjeldus,"Toetus on mõeldud tehisarulahenduse kasutuselevõtuks ettevõtte olemasolevas tootes, teenuses või protsessis või uue tehisarupõhise toote või lahenduse arendamiseks ja tehniliseks turuletoomise ettevalmistuseks. Projektis peab valmima ettevõtte- või tootespetsiifiline tehisaru komponent, mille väärtus seisneb info sisulises töötluses, mitte üksnes valmis AI-tööriista seadistamises või süsteemide liidestamises. Projekti tulemus peab olema tõendatav vähemalt töötava prototüübi, MVP või testitulemustega reaalses või reaalset kasutust jäljendavas kasutusjuhus. Projekt peab panustama vähemalt ühte ettevõtte tulemusnäitajasse, näiteks tootlikkuse, kuluefektiivsuse, müügitulu, ekspordikäibe või automatiseerituse kasvu. Infopäeva info kohaselt võib projekti kestus olla kuni 9 kuud ning projekti lähtekoht peaks olema piisavalt küps, et valitud lahenduse kasutuselevõtuga minnakse sisuliselt „kindla peale“.",kõrge,"Juhend täpsustab toetatavate projektide sisu, nõutavat tulemust ja tõendamist. Projekti kestus ning küpsusastme praktiline tõlgendus pärinevad kasutaja edastatud infopäeva infost."
Link,https://www.riigiteataja.ee/akt/126062026024?leiaKehtiv,kõrge,Kasutaja antud põhilink.
Sobiv taotleja,ettevõte,kõrge,"Taotleja on Eesti äriregistrisse kantud äriühing, kelle eelmise majandusaasta müügitulu vastab määruses sätestatud nõudele."
Ettevõtte suurus,kõik,keskmine,Materjalides ei ole toetust piiritletud ainult VKEde või suurettevõtjatega. Kehtib eraldi müügitulu nõue.
Piirkond,Eesti,kõrge,Meede on suunatud Eesti äriühingutele.
Sektor,"kõik sektorid, v.a välistatud tegevusvaldkonnad",keskmine,"Juhendis toodud sobivad näited hõlmavad mh tootmist, logistikat, teenuseid, tarkvara, e-kaubandust, energeetikat ja põllumajandusega seotud lahendusi, mis näitab laia sektorilist ulatust. Riigiabi võimalikud sektoripiirangud tuleb eraldi kontrollida."
Valdkond,AI; digitaliseerimine; innovatsioon,kõrge,Meetme keskmes on tehisaru sisuline rakendamine ettevõtte protsessides või toodetes ning AI-põhiste lahenduste arendamine.
Projekti tüüp,AI kasutuselevõtt; tootearendus,kõrge,"Juhend eristab kahte toetatavat tegevust: AI integreerimine olemasolevasse tootesse, teenusesse või protsessi ning uue tehisarutoote või -lahenduse arendus ja turuletoomise ettevalmistus."
AI nõue,nõutav,kõrge,"Projektis peab olema sisuline tehisaru komponent. Pelgalt ChatGPT, Copiloti, Claude'i vms valmistoote kasutuselevõtt või seadistamine ei kvalifitseeru."
T&A nõue,sobib,keskmine,"Meede eeldab arendustööd ja taotlejaspetsiifilise AI-komponendi loomist, kuid ei eelda, et projekt oleks formaalselt teadus- ja arendusprojekt. Uue AI-toote arendus võib sisaldada T&A-d, samas protsessi integreerimine ei pea seda tingimata sisaldama."
Arengufaas,prototüüp; piloot,kõrge,"Projekt peab olema piisavalt küps reaalseks kasutuselevõtuks või realistlikuks piloteerimiseks. Tulemuseks peab olema töötav prototüüp/MVP või kontrollitavad testitulemused. Infopäeva järgi ei ole eesmärk alles uurida, kas mingi AI-lahendus võiks sobida, vaid minna välja valitud lahendusega kasutuselevõtu suunas."
Partneri nõue,ei,keskmine,"Juhend ei sätesta kohustuslikku partnerit ega konsortsiumi. Lahendus võib kasutada valmis mudeleid, teenuseid ja API-sid, kuid projekti sisuline AI-komponent peab olema ettevõttespetsiifiline või tootespetsiifiline."
Ülikoolipartner,ei ole vajalik,kõrge,Juhendis ei ole teadusasutuse või ülikooli kaasamise nõuet ega sellele antavat eelist.
Välistavad tingimused,"• taotleja ei vasta määruse taotlejanõuetele; • eelmise majandusaasta müügitulu on alla nõutud 200 000 €; • projekt piirdub valmis AI-tööriista või suure keelemudeli litsentsi ostmise ja seadistamisega; • projekt seisneb karbitoote või SaaS-teenuse juurutamises; • lahenduse ainus sisu on info otsimine, leidmine või kuvamine ilma sisulise töötluseta; • projekt seisneb peamiselt süsteemide liidestamises ning sisulist AI-töötluskihti ei arendata; • arendaja AI-töövahendi kasutamine on projekti sisuline tulemus; • projekt seisneb valmistoote ostmises, litsentsitasudes või seadistamises; • projekti jaoks vajalikud põhiandmed või ärireeglid tuleb alles projekti käigus ulatuslikult luua või korrastada; • taotleja või temaga samasse kontserni kuuluv äriühing on meetmest juba toetust saanud; • samale tegevusele rakendub keelatud topeltrahastamine",kõrge,"Juhend nimetab otseselt mittesobivaid kasutusjuhtumeid ning kirjeldab, mis eristab sobivat AI-prototüüpi tavalisest tarkvara seadistamisest või liidestamisprojektist."
Kontrollkohad,"• kontrolli, et projekt sisaldab taotleja loodud ettevõtte- või tootespetsiifilist AI-komponenti; • kontrolli, et põhiväärtus tekib info sisulisest töötlusest: analüüs, otsustamine, planeerimine/ennustamine või andmete struktureerimine; • kontrolli, et projekt ei ole valmis AI-tööriista, SaaS-i või karbitoote juurutamine; • kontrolli, et liidestamine ei moodusta projekti põhisisu; • kontrolli, et projekti lähteandmed ja vajalikud ärireeglid on enne projekti piisavalt olemas; • kontrolli, et kasutusjuht on toetuse mahtu arvestades piisavalt kitsalt piiritletud; • kontrolli, et tulemust saab tõendada töötava prototüübi/MVP või testitulemustega; • kontrolli reaalse või reaalset kasutust jäljendava sisendi olemasolu; • kontrolli enne-pärast tulemusnäitajat; • kontrolli lõpparuande kohustusliku kuni 50 MB video nõuet; • kontrolli kõrge riskiga AI kasutusala; • kontrolli projekti kestust – kuni 9 kuud; • kontrolli VTA jääki ja riigiabi tingimusi; • kontrolli taotluste vastuvõtu staatust ja eelarve jääki",kõrge,Uus juhend annab väga detailsed kriteeriumid projekti sisulise sobivuse ja tulemuse tõendamise kontrollimiseks.
